0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2-0	1-0	1-0	1-0	2-90	0	0	0	0	0
0	0	0	0	1-270	0	0	0	1-90	0	0	0	0	0
0	0	0	0	1-270	0	0	0	1-90	0	0	0	0	0
0	0	0	0	1-270	0	0	0	1-90	0	0	0	0	0
0	0	0	0	1-270	0	0	0	1-90	0	0	0	0	0
0	0	0	0	2-270	1-180	1-180	1-180	2-180	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
